1426375211486,a,-0.38307226,0.80445176,10.036493
1426375211488,r,0.07452556,-0.015882496,0.029321533
1426375211506,a,-0.49799395,0.842759,9.921572
1426375211508,r,-0.021991149,0.021991149,-0.04642576
1426375211526,a,-0.45968673,1.0342951,9.730036
1426375211531,r,-0.062308256,-0.05375614,-0.080634214
1426375211547,a,-0.45968673,1.1109096,9.615114
1426375211549,r,0.0012217305,-0.05131268,-0.015882496
1426375211566,a,-0.49799395,1.1109096,9.653421
1426375211568,r,-0.004886922,0.028099801,0.06719518
1426375211586,a,-0.4213795,1.0342951,9.768343
1426375211606,a,-0.49799395,0.91937345,10.113108
1426375211609,r,-0.02687807,-0.0036651916,0.07452556
1426375211610,r,-0.032986723,0.0012217305,0.043982297
1426375211626,a,-0.5363012,0.9576807,10.0748005
1426375211630,r,0.009773844,0.002443461,0.059864793
1426375211649,a,-0.49799395,1.0726024,10.036493
1426375211651,r,0.002443461,-0.10873401,0.10751228
1426375211670,a,-0.5746084,1.1109096,9.921572
1426375211688,a,-0.61291564,1.1875241,9.921572
1426375211694,r,0.02443461,-0.14782938,0.1282817
1426375211716,a,-0.842759,1.2641385,9.998186
1426375211723,r,0.021991149,-0.042760566,0.17348573
1426375211728,r,0.047647487,-0.018325957,0.18448131
1426375211740,a,-0.842759,2.1068976,9.80665
1426375211745,r,0.1001819,-0.034208454,0.22968534
1426375211756,a,-0.45968673,0.9576807,9.959879
1426375211760,r,0.13439035,-0.21868975,0.24556783
1426375211776,a,-0.34476504,0.9959879,10.151415
1426375211779,r,0.07086037,-0.3408628,0.28955013
1426375211796,a,-0.15322891,0.80445176,9.768343
1426375211803,r,-0.030543262,-0.16493362,0.21746802
1426375211820,a,-0.076614454,0.9576807,9.844957
1426375211823,r,0.0061086523,-0.35308012,0.22724187
1426375211839,a,-0.038307227,0.8810662,9.730036
1426375211844,r,-0.043982297,-0.3848451,0.21991149
1426375211858,a,0.11492168,0.8810662,9.576807
1426375211862,r,-0.02443461,-0.22357668,0.21502456
1426375211876,a,0.2681506,0.91937345,9.615114
1426375211884,r,0.008552114,-0.06352998,0.28344148
1426375211897,a,0.30645782,0.8810662,9.691729
1426375211903,r,-0.034208454,0.07574729,0.32986724
1426375211922,a,0.34476504,0.842759,9.730036
1426375211926,r,-0.095294975,0.1001819,0.34330627
1426375211939,a,0.34476504,0.80445176,9.691729
1426375211943,r,-0.081855945,0.062308256,0.28955013
1426375211959,a,0.19153613,0.842759,9.5385
1426375211963,r,-0.007330383,0.035430185,0.19547687
1426375211977,a,0.11492168,0.8810662,9.5385
1426375211980,r,-0.06352998,0.112399206,0.10995574
1426375211996,a,-0.6512229,1.0726024,10.113108
1426375212001,r,-0.18081611,0.16737708,0.05375614
1426375212016,a,-0.22984336,1.2641385,10.189722
1426375212020,r,-0.15393804,0.017104227,0.07941248
1426375212041,a,0.0,1.1492168,9.921572
1426375212045,r,-0.09773844,-0.037873644,0.21013765
1426375212056,a,0.038307227,1.0342951,9.80665
1426375212059,r,-0.09040806,0.042760566,0.28099802
1426375212076,a,0.11492168,0.80445176,9.883265
1426375212079,r,-0.17592919,0.032986723,0.27122417
1426375212096,a,0.076614454,0.6512229,9.998186
